run_id,algorithm,query_id,query_complexity,success,execution_time_ms,nodes_expanded,path_length
1,DepthFirstSearch,H1,4,False,10590,2,0
1,BreadthFirstSearch,H1,4,False,7714,2,0
1,AStarSearch,H1,4,False,9770,2,0
1,DepthFirstSearch,H2,4,False,5936,2,0
1,BreadthFirstSearch,H2,4,False,6252,2,0
1,AStarSearch,H2,4,False,4870,2,0
1,DepthFirstSearch,H3,4,False,50505,6,0
1,BreadthFirstSearch,H3,4,False,40958,6,0
1,AStarSearch,H3,4,False,46914,6,0
1,DepthFirstSearch,H4,4,False,14507,2,0
1,BreadthFirstSearch,H4,4,False,11704,2,0
1,AStarSearch,H4,4,False,11473,2,0
1,DepthFirstSearch,H5,4,False,27356,3,0
1,BreadthFirstSearch,H5,4,False,23225,3,0
1,AStarSearch,H5,4,False,24722,3,0
1,DepthFirstSearch,H6,5,True,40507,3,3
1,BreadthFirstSearch,H6,5,False,27998,5,0
1,AStarSearch,H6,5,False,27716,5,0
1,DepthFirstSearch,H7,4,False,10119,2,0
1,BreadthFirstSearch,H7,4,False,7608,2,0
1,AStarSearch,H7,4,False,7556,2,0
1,DepthFirstSearch,H8,4,False,40514,4,0
1,BreadthFirstSearch,H8,4,False,34824,4,0
1,AStarSearch,H8,4,False,36512,4,0
1,DepthFirstSearch,H9,4,True,51594,4,4
1,BreadthFirstSearch,H9,4,True,46809,4,4
1,AStarSearch,H9,4,True,46534,4,4
1,DepthFirstSearch,H10,4,False,1433,1,0
1,BreadthFirstSearch,H10,4,False,0,1,0
1,AStarSearch,H10,4,False,0,1,0
1,DepthFirstSearch,H11,5,False,40257,4,0
1,BreadthFirstSearch,H11,5,False,34812,4,0
1,AStarSearch,H11,5,False,36413,4,0
1,DepthFirstSearch,H12,4,False,118464,10,0
1,BreadthFirstSearch,H12,4,False,75850,7,0
1,AStarSearch,H12,4,False,70161,7,0
1,DepthFirstSearch,H13,4,False,23381,3,0
1,BreadthFirstSearch,H13,4,False,19388,3,0
1,AStarSearch,H13,4,False,20689,3,0
1,DepthFirstSearch,H14,4,False,40241,4,0
1,BreadthFirstSearch,H14,4,False,34999,4,0
1,AStarSearch,H14,4,False,34831,4,0
1,DepthFirstSearch,H15,4,False,19886,3,0
1,BreadthFirstSearch,H15,4,False,15575,3,0
1,AStarSearch,H15,4,False,18236,3,0
1,DepthFirstSearch,H16,4,True,27413,2,2
1,BreadthFirstSearch,H16,4,True,23375,2,2
1,AStarSearch,H16,4,True,25003,2,2
1,DepthFirstSearch,H17,5,False,15638,2,0
1,BreadthFirstSearch,H17,5,False,13028,2,0
1,AStarSearch,H17,5,False,11680,2,0
1,DepthFirstSearch,H18,4,False,21456,4,0
1,BreadthFirstSearch,H18,4,False,17043,4,0
1,AStarSearch,H18,4,False,20530,4,0
1,DepthFirstSearch,H19,4,False,14036,2,0
1,BreadthFirstSearch,H19,4,False,11575,2,0
1,AStarSearch,H19,4,False,13998,2,0
1,DepthFirstSearch,H20,5,False,40196,4,0
1,BreadthFirstSearch,H20,5,False,35010,4,0
1,AStarSearch,H20,5,False,35108,4,0
